,year,county,dgCount,povPcnt,realMedInc,lfpr,lf_size
1756,2015,Russell County,0.0,21.2,40685.42,0.9344048699061964,11422.0
1757,2016,Russell County,1.0,16.9,40812.99,0.9347136732422654,11231.0
1758,2017,Russell County,0.0,20.2,40175.03,0.9481869688298006,11433.0
1759,2018,Russell County,0.0,21.5,38966.0,0.956766102504742,11186.0
1760,1999,Scott County,0.0,13.9,41861.78,0.934775712704822,9260.0
1761,2000,Scott County,2.0,14.1,41936.99,0.9614994690937388,9771.0
1762,2001,Scott County,0.0,13.9,39984.18,0.95365671493082,9767.0
1763,2002,Scott County,0.0,14.6,40694.8,0.946656873880371,9815.0
1764,2003,Scott County,1.0,15.3,41330.83,0.9452910871564392,9861.0
1765,2004,Scott County,0.0,14.9,41910.67,0.9429868036279596,9715.0
1766,2005,Scott County,0.0,17.9,39285.93,0.9473999653686088,9768.0
1767,2006,Scott County,0.0,17.7,40546.91,0.9506511946118292,9923.0
1768,2007,Scott County,0.0,18.1,37689.01,0.9537640305524839,9804.0
1769,2008,Scott County,0.0,17.3,39362.71,0.9458376859686556,10102.0
1770,2009,Scott County,0.0,19.2,39764.06,0.9044825251268844,9861.0
1771,2010,Scott County,0.0,18.9,39007.9,0.9152945189769588,10072.0
1772,2011,Scott County,0.0,18.7,39544.54,0.9266425200488791,10156.0
1773,2012,Scott County,0.0,21.3,40065.5,0.9245396530427752,10087.0
1774,2013,Scott County,1.0,18.4,41391.69,0.9302203896452091,10003.0
1775,2014,Scott County,0.0,20.8,38530.12,0.9414995955513472,9778.0
1776,2015,Scott County,0.0,19.2,39817.36,0.9484209076343404,9499.0
1777,2016,Scott County,0.0,19.5,40403.84,0.9506107343719736,9413.0
1778,2017,Scott County,0.0,17.6,40606.29,0.9595903985473924,9302.0
1779,2018,Scott County,1.0,18.5,40161.0,0.9669176714269346,9100.0
1780,1999,Shenandoah County,0.0,8.3,57414.25,0.9720326226699764,17574.0
1781,2000,Shenandoah County,0.0,8.0,58964.75,0.9820154186275326,18513.0
1782,2001,Shenandoah County,0.0,8.1,56532.06,0.9755658991062656,18787.0
1783,2002,Shenandoah County,0.0,8.3,56747.92,0.9686645117821072,19057.0
1784,2003,Shenandoah County,0.0,8.9,57306.68,0.9610226588016864,19134.0
1785,2004,Shenandoah County,0.0,8.6,58492.37,0.96634554247907,19018.0
1786,2005,Shenandoah County,0.0,8.4,56122.21,0.9692297788175784,19520.0
1787,2006,Shenandoah County,0.0,8.3,58925.79,0.9697761531566652,19786.0
1788,2007,Shenandoah County,0.0,9.0,58355.8,0.9681700469013864,20009.0
1789,2008,Shenandoah County,0.0,9.8,56903.37,0.9534783815554008,20290.0
1790,2009,Shenandoah County,0.0,10.4,56019.07,0.9181117475023742,20232.0
1791,2010,Shenandoah County,1.0,11.7,53110.85,0.9176573375509426,20831.0
1792,2011,Shenandoah County,0.0,13.4,53337.36,0.9294632692460272,21084.0
1793,2012,Shenandoah County,0.0,11.4,53335.57,0.9363771237828066,20834.0
1794,2013,Shenandoah County,0.0,11.6,51689.94,0.943825870599068,20941.0
1795,2014,Shenandoah County,0.0,12.0,48234.32,0.9499348966879944,21207.0
1796,2015,Shenandoah County,0.0,11.5,57532.57,0.9573146147451702,21033.0
1797,2016,Shenandoah County,2.0,10.8,56307.13,0.9619877030896136,20799.0
1798,2017,Shenandoah County,0.0,9.5,58115.97,0.9662712811093244,21621.0
1799,2018,Shenandoah County,0.0,10.4,55283.0,0.9710720311624664,22169.0
1800,1999,Smyth County,0.0,12.9,45212.06,0.9396362645534488,16557.0
1801,2000,Smyth County,0.0,13.1,45656.92,0.9565026105517176,15862.0
1802,2001,Smyth County,0.0,13.3,43122.01,0.93609072036178,15565.0
1803,2002,Smyth County,0.0,14.3,42750.95,0.9190870709336344,15475.0
1804,2003,Smyth County,0.0,14.8,43309.85,0.9241599270250042,15772.0
1805,2004,Smyth County,0.0,14.0,43521.8,0.9471905252144616,15374.0
1806,2005,Smyth County,0.0,13.3,44192.97,0.9533399991940272,15589.0
1807,2006,Smyth County,0.0,15.5,42943.99,0.9531457385470528,15338.0
1808,2007,Smyth County,0.0,17.1,43669.42,0.9455245072579572,15065.0
1809,2008,Smyth County,0.0,18.1,39109.01,0.9391463257462506,15127.0
1810,2009,Smyth County,0.0,17.8,41783.18,0.8890504900842626,15153.0
1811,2010,Smyth County,0.0,18.7,40900.76,0.8788441668198766,13707.0
1812,2011,Smyth County,1.0,19.4,39067.89,0.8909390509090644,13750.0
1813,2012,Smyth County,1.0,19.0,39702.82,0.9042043643361756,13516.0
1814,2013,Smyth County,1.0,17.3,40462.06,0.9092782752617088,13405.0
1815,2014,Smyth County,0.0,19.7,40166.25,0.9206563466679416,13439.0
1816,2015,Smyth County,1.0,18.1,41265.19,0.9347907618450728,13459.0
1817,2016,Smyth County,0.0,18.1,42002.75,0.9414105217425672,13661.0
1818,2017,Smyth County,1.0,17.7,43032.02,0.9503347601140156,13875.0
1819,2018,Smyth County,0.0,20.4,40972.0,0.9596074786040738,13661.0
1820,1999,Southampton County,0.0,13.0,50370.51,0.9677330185473592,8536.0
1821,2000,Southampton County,0.0,14.0,50726.5,0.9723090047775494,7488.0
1822,2001,Southampton County,0.0,13.1,48166.41,0.9676042365178406,7412.0
1823,2002,Southampton County,0.0,13.8,47698.88,0.9580375102642406,7436.0
1824,2003,Southampton County,0.0,14.0,48379.2,0.95613804817884,7566.0
1825,2004,Southampton County,0.0,13.5,48623.04,0.9567716321860028,7420.0
1826,2005,Southampton County,0.0,15.1,52212.82,0.9580069462074752,7523.0
1827,2006,Southampton County,0.0,15.4,48482.25,0.9631567419455791,7588.0
1828,2007,Southampton County,0.0,15.0,52919.28,0.9640760687732666,7673.0
1829,2008,Southampton County,0.0,17.5,50447.36,0.95191055674942,8112.0
1830,2009,Southampton County,1.0,15.9,50156.47,0.920346038639082,8095.0
1831,2010,Southampton County,0.0,16.4,49897.61,0.9140898624925604,9494.0
1832,2011,Southampton County,0.0,16.0,48531.63,0.9230648003148112,9442.0
1833,2012,Southampton County,0.0,16.7,48042.22,0.9372704027044588,9494.0
1834,2013,Southampton County,0.0,16.7,50257.17,0.9440350214432446,9241.0
1835,2014,Southampton County,0.0,15.3,49392.67,0.9509873958591708,9117.0
1836,2015,Southampton County,0.0,15.2,51001.45,0.9598719859183096,9196.0
1837,2016,Southampton County,0.0,15.6,51896.52,0.9602756779644632,9024.0
1838,2017,Southampton County,0.0,14.7,50718.94,0.9640770609079016,9033.0
1839,2018,Southampton County,1.0,14.7,52741.0,0.9717109886193058,9029.0
1840,1999,Spotsylvania County,0.0,5.5,83959.42,0.9843398350428346,44530.0
1841,2000,Spotsylvania County,0.0,5.3,87175.71,0.9827983138377804,48523.0
1842,2001,Spotsylvania County,0.0,5.2,83212.82,0.9788849623796844,50930.0
1843,2002,Spotsylvania County,0.0,5.7,85720.26,0.9710217627191072,53322.0
1844,2003,Spotsylvania County,0.0,5.9,89522.53,0.9694312678595786,55469.0
1845,2004,Spotsylvania County,0.0,5.7,90247.19,0.9708892660513788,58122.0
1846,2005,Spotsylvania County,0.0,5.5,88441.36,0.972799996707622,61880.0
1847,2006,Spotsylvania County,0.0,5.6,90134.07,0.97547261544192,64312.0
1848,2007,Spotsylvania County,0.0,6.0,90293.85,0.9746625917050928,64668.0
1849,2008,Spotsylvania County,0.0,6.4,90563.0,0.9658872033771572,66228.0
1850,2009,Spotsylvania County,0.0,7.6,88706.24,0.9437923124853872,64916.0
1851,2010,Spotsylvania County,0.0,7.9,83635.51,0.9299656448358592,63357.0
1852,2011,Spotsylvania County,0.0,7.6,84619.86,0.933011781821311,64276.0
1853,2012,Spotsylvania County,0.0,8.5,84695.7,0.9390585359758165,64141.0
1854,2013,Spotsylvania County,0.0,7.7,78939.61,0.9418886454948796,64155.0
1855,2014,Spotsylvania County,1.0,9.2,80387.7,0.9458093786868,64072.0
1856,2015,Spotsylvania County,0.0,7.7,80744.44,0.9536228652601424,63796.0
1857,2016,Spotsylvania County,0.0,7.4,84826.93,0.9587035979124648,64856.0
1858,2017,Spotsylvania County,0.0,6.9,87833.13,0.9627267336890792,65374.0
1859,2018,Spotsylvania County,1.0,7.5,86695.0,0.9688770923531924,66152.0
1860,1999,Stafford County,0.0,4.6,98733.27,0.9850977327084972,46699.0
1861,2000,Stafford County,0.0,4.4,100629.76,0.9829739452731908,48424.0
1862,2001,Stafford County,0.0,4.3,99398.15,0.9778108162471344,50738.0
1863,2002,Stafford County,0.0,4.5,101952.54,0.9697356171520696,53202.0
1864,2003,Stafford County,0.0,5.0,103407.14,0.9688912980268422,55344.0
1865,2004,Stafford County,0.0,4.9,104607.42,0.9713621434058721,58474.0
1866,2005,Stafford County,0.0,4.6,101649.24,0.97256536018801,61558.0
1867,2006,Stafford County,0.0,4.4,104803.72,0.9751192721569768,63634.0
1868,2007,Stafford County,0.0,4.2,105458.56,0.973853048396906,64503.0
1869,2008,Stafford County,0.0,4.8,101884.99,0.9655925511943564,66128.0
1870,2009,Stafford County,0.0,4.7,103453.66,0.9452756099886079,65512.0
1871,2010,Stafford County,0.0,5.2,107552.48,0.9349314098314468,63904.0
1872,2011,Stafford County,0.0,6.3,101538.91,0.9382727844415272,65148.0
1873,2012,Stafford County,0.0,5.5,105107.57,0.9421399684767938,65516.0
1874,2013,Stafford County,0.0,6.4,100427.96,0.9433821604335314,66087.0
1875,2014,Stafford County,0.0,5.9,98365.95,0.9466696113709668,66633.0
1876,2015,Stafford County,0.0,5.4,101396.64,0.9554033207755896,66644.0
1877,2016,Stafford County,0.0,5.7,102136.58,0.960428829818732,68200.0
1878,2017,Stafford County,0.0,4.6,113894.3,0.9639570433214368,69424.0
1879,2018,Stafford County,1.0,5.4,108421.0,0.9699696006935544,71132.0
1880,1999,Suffolk city,0.0,12.4,59180.09,0.965870632568734,30736.0
1881,2000,Suffolk city,0.0,11.6,61418.38,0.974774910631557,29326.0
1882,2001,Suffolk city,0.0,10.5,59177.95,0.9688145970529404,31023.0
1883,2002,Suffolk city,0.0,10.9,61411.71,0.956766398784437,33002.0
1884,2003,Suffolk city,0.0,11.4,63525.67,0.9569005384148572,34539.0
1885,2004,Suffolk city,0.0,10.8,65348.66,0.9578517464505836,35979.0
1886,2005,Suffolk city,0.0,11.9,69020.74,0.9601153146431208,37792.0
1887,2006,Suffolk city,0.0,10.7,69737.64,0.964824350889384,39341.0
1888,2007,Suffolk city,0.0,10.9,69863.79,0.9671799100605871,39793.0
1889,2008,Suffolk city,0.0,10.8,67311.08,0.9591467227566228,40870.0
1890,2009,Suffolk city,0.0,12.3,66052.47,0.9329400689039088,40575.0
1891,2010,Suffolk city,0.0,11.9,72042.9,0.9240294934553832,41754.0
1892,2011,Suffolk city,0.0,12.2,68628.39,0.9255128977172952,41913.0
1893,2012,Suffolk city,0.0,11.9,67690.38,0.9298324051896376,41803.0
1894,2013,Suffolk city,2.0,11.5,64208.08,0.9367019228693796,41983.0
1895,2014,Suffolk city,0.0,13.6,64484.07,0.9422811286464008,42336.0
1896,2015,Suffolk city,0.0,13.1,64835.3,0.9503771283128858,42287.0
1897,2016,Suffolk city,2.0,11.7,68042.57,0.952639178928303,42907.0
1898,2017,Suffolk city,0.0,11.3,70642.04,0.9592966252267258,43983.0
1899,2018,Suffolk city,1.0,10.9,69753.0,0.9672328663517598,44502.0
1900,1999,Surry County,0.0,11.4,52290.57,0.9232732966729676,2405.0
1901,2000,Surry County,0.0,11.6,54091.11,0.9709053380113284,3396.0
1902,2001,Surry County,0.0,10.8,52531.22,0.9668058320400073,3457.0
1903,2002,Surry County,0.0,11.2,52632.81,0.9547541215971888,3558.0
1904,2003,Surry County,0.0,10.9,52582.22,0.9542108526999682,3549.0
1905,2004,Surry County,0.0,10.7,52623.54,0.9575858997152196,3536.0
1906,2005,Surry County,0.0,11.9,51541.28,0.9517251343558154,3638.0
1907,2006,Surry County,0.0,10.7,53975.57,0.9657887834186512,3707.0
1908,2007,Surry County,0.0,11.0,55432.36,0.9659847395180255,3729.0
1909,2008,Surry County,1.0,11.6,60800.12,0.9554540754347344,3815.0
1910,2009,Surry County,0.0,11.7,54732.04,0.925154213279246,3720.0
1911,2010,Surry County,0.0,12.3,53221.65,0.910269564726726,3693.0
1912,2011,Surry County,0.0,12.8,52013.68,0.9153126919242848,3759.0
1913,2012,Surry County,0.0,12.9,55250.86,0.9219470682670424,3689.0
1914,2013,Surry County,0.0,13.6,54583.56,0.9269851648827664,3633.0
1915,2014,Surry County,0.0,12.9,51713.6,0.9376838570018784,3661.0
1916,2015,Surry County,0.0,13.0,54405.86,0.9492259255238072,3716.0
1917,2016,Surry County,0.0,13.4,54214.31,0.9467991099994312,3652.0
1918,2017,Surry County,0.0,12.8,50260.02,0.9558605871010548,3738.0
1919,2018,Surry County,1.0,12.9,54663.0,0.965295194120948,3750.0
1920,1999,Sussex County,0.0,15.4,44534.74,0.9708912046962391,6277.0
1921,2000,Sussex County,0.0,17.2,45490.23,0.9630732835268028,4532.0
1922,2001,Sussex County,0.0,16.9,42779.36,0.9526669247754246,4471.0
1923,2002,Sussex County,0.0,17.9,42326.84,0.9419374506188716,4385.0
